country_name,country_code,macroregion,subregion,income_classification_2017,population_millions,cost_energy,cost_nutrition,cost_healthy,percent_unafford_energy,percent_unafford_nutrition,percent_unafford_healthy,num_unafford_energy,num_unafford_nutrition,num_unafford_healthy,100_percent_unafford_energy,100_percent_unafford_nutrition,100_percent_unafford_healthy,100_num_unafford_energy,100_num_unafford_nutrition,100_num_unafford_healthy,mean_percent_unafford_energy,mean_percent_unafford_nutrition,mean_percent_unafford_healthy,mean_num_unafford_energy,mean_num_unafford_nutrition,mean_num_unafford_healthy,98_cost_nutrition,cost_flex,cost_pesc,cost_veg,cost_vgn
Burundi,BDI,Africa,Sub-Saharan Africa,Low-income,10.8,0.7,1.6,3.4,42.50%,84.80%,97.20%,4.6,9.2,10.5,16.30%,65.80%,92.10%,1.8,7.1,10,58.50%,90.40%,98.50%,6.3,9.8,10.7,2.1,2.9,2.9,2.4,2.0
Belgium,BEL,Europe,Western Europe,High-income,11.4,0.3,2.4,2.9,0.10%,0.20%,0.30%,0.0,0,0,0.10%,0.20%,0.20%,0.0,0.0,0,0.10%,3.20%,5.40%,0.0,0.4,0.6,3.1,3.2,3.6,2.8,2.9
Benin,BEN,Africa,Sub-Saharan Africa,Low-income,11.2,0.7,2.5,3.5,19.50%,82.40%,89.60%,2.2,9.2,10,15.40%,59.20%,75.30%,1.7,6.6,8.4,24.40%,88.20%,91.90%,2.7,9.9,10.3,3.2,3.3,3.3,3.1,2.8
Burkina Faso,BFA,Africa,Sub-Saharan Africa,Low-income,19.2,0.6,2.5,3.5,0.80%,80.20%,90.00%,0.2,15.4,17.3,0.00%,53.90%,73.90%,0.0,10.3,14.2,4.20%,87.20%,93.70%,0.8,16.7,18,3.3,5.2,5.1,5.4,5.6
Bangladesh,BGD,Asia,Southern Asia,Lower-middle,159.7,0.6,1.9,3.4,0.20%,37.50%,77.60%,0.3,59.9,123.9,0.00%,8.70%,46.40%,0.0,13.8,74.1,2.70%,67.50%,91.30%,4.3,107.7,145.8,2.4,3.0,3.2,2.5,2.3
Bulgaria,BGR,Europe,Eastern Europe,Upper-middle,7.1,0.5,2.8,4.2,0.10%,5.30%,9.30%,0.0,0.4,0.7,0.10%,2.10%,4.80%,0.0,0.1,0.3,1.10%,20.10%,41.40%,0.1,1.4,2.9,3.4,4.0,4.3,3.8,3.7
Bahrain,BHR,Asia,Western Asia,High-income,1.5,0.8,2.8,4.6,,,,,,,,,,,,,,,,,,,3.3,4.3,4.6,3.9,3.7
"Bahamas, The",BHS,Americas,Latin America and the Caribbean,High-income,0.4,1.0,4.7,4.3,,,,,,,,,,,,,,,,,,,5.4,5.9,6.0,6.3,6.7
Bosnia and Herzegovina,BIH,Europe,Southern Europe,Upper-middle,3.4,0.7,3.1,4.3,0.00%,1.30%,3.60%,0.0,0,0.1,0.00%,0.20%,0.80%,0.0,0.0,0,0.10%,15.00%,30.30%,0.0,0.5,1,3.8,4.2,4.4,3.9,3.9
Belarus,BLR,Europe,Eastern Europe,Upper-middle,9.5,0.8,2.2,4.1,0.00%,0.00%,1.00%,0.0,0,0.1,0.00%,0.00%,0.10%,0.0,0.0,0,0.00%,2.60%,30.70%,0.0,0.2,2.9,2.6,3.5,3.5,3.4,3.4
Belize,BLZ,Americas,Latin America and the Caribbean,Upper-middle,0.4,1.1,2.8,2.9,10.80%,37.00%,38.10%,0.0,0.1,0.1,6.00%,19.70%,20.20%,0.0,0.1,0.1,32.10%,72.40%,74.00%,0.1,0.3,0.3,3.7,3.0,3.1,2.9,2.8
Bermuda,BMU,Americas,Northern America,High-income,0.1,1.1,4.7,3.7,,,,,,,,,,,,,,,,,,,5.7,4.3,4.6,4.4,4.5
Bolivia,BOL,Americas,Latin America and the Caribbean,Lower-middle,11.2,1.5,3.3,3.8,7.40%,21.50%,25.50%,0.8,2.4,2.9,4.40%,11.80%,13.70%,0.5,1.3,1.5,12.30%,36.10%,41.10%,1.4,4,4.6,4.1,4.4,4.9,3.8,3.7
Brazil,BRA,Americas,Latin America and the Caribbean,Upper-middle,207.8,0.8,2.7,2.8,2.10%,12.00%,13.00%,4.3,24.9,27,0.80%,6.20%,6.70%,1.7,12.9,14,7.50%,36.00%,38.30%,15.6,74.8,79.6,3.1,3.4,3.7,3.2,3.3
Barbados,BRB,Americas,Latin America and the Caribbean,High-income,0.3,0.9,2.2,5.9,,,,,,,,,,,,,,,,,,,2.4,6.5,7.0,7.1,7.8
Brunei Darussalam,BRN,Asia,South-eastern Asia,High-income,0.4,0.8,2.4,5.0,,,,,,,,,,,,,,,,,,,2.8,4.1,4.1,4.0,3.8
Bhutan,BTN,Asia,Southern Asia,Lower-middle,0.7,1.0,2.8,4.8,0.50%,22.60%,52.10%,0.0,0.2,0.4,0.00%,5.70%,26.30%,0.0,0.0,0.2,3.50%,44.30%,72.70%,0.0,0.3,0.5,3.6,4.2,4.1,3.9,3.8
Botswana,BWA,Africa,Sub-Saharan Africa,Upper-middle,2.2,0.5,2.2,4.0,0.80%,37.10%,60.20%,0.0,0.8,1.3,0.20%,17.00%,42.00%,0.0,0.4,0.9,10.30%,69.10%,84.20%,0.2,1.5,1.9,3,4.4,4.6,4.3,4.3
Central African Republic,CAF,Africa,Sub-Saharan Africa,Low-income,4.6,1.0,1.7,3.3,62.80%,81.10%,93.00%,2.9,3.7,4.3,40.60%,65.00%,85.20%,1.9,3.0,3.9,71.50%,86.10%,95.30%,3.3,4,4.4,2.6,3.3,3.3,3.0,2.5
Canada,CAN,Americas,Northern America,High-income,36.5,0.7,2.1,3.0,0.00%,0.50%,0.50%,0.0,0.2,0.2,0.00%,0.20%,0.50%,0.0,0.1,0.2,0.50%,2.20%,5.50%,0.2,0.8,2,2.6,2.9,3.0,2.9,2.8
Switzerland,CHE,Europe,Western Europe,High-income,8.5,0.4,2.1,2.5,0.00%,0.00%,0.00%,0.0,0,0,0.00%,0.00%,0.00%,0.0,0.0,0,0.00%,0.80%,1.90%,0.0,0.1,0.2,2.5,2.7,3.0,2.4,2.5
Chile,CHL,Americas,Latin America and the Caribbean,High-income,18.5,0.6,2.1,3.1,0.20%,0.60%,1.80%,0.0,0.1,0.3,0.10%,0.30%,0.50%,0.0,0.1,0.1,1.10%,33.00%,55.70%,0.2,6.1,10.3,2.3,3.0,3.1,3.0,3.0
China,CHN,Asia,Eastern Asia,Upper-middle,1386.4,0.8,2.1,3.6,0.10%,3.20%,17.90%,1.1,44.7,248.8,0.00%,0.40%,4.40%,0.4,5.3,60.4,2.10%,31.20%,61.30%,29.0,433.2,849.9,2.7,2.8,2.8,2.7,2.4
Cote d'Ivoire,CIV,Africa,Sub-Saharan Africa,Lower-middle,24.4,0.8,1.6,2.9,9.40%,36.90%,68.80%,2.3,9,16.8,3.00%,15.50%,43.90%,0.7,3.8,10.7,22.20%,59.20%,84.50%,5.4,14.5,20.7,2.2,3.0,3.0,2.8,2.5
Cameroon,CMR,Africa,Sub-Saharan Africa,Lower-middle,24.6,0.9,2.1,3.6,11.00%,41.80%,66.40%,2.7,10.3,16.3,3.00%,23.60%,45.90%,0.7,5.8,11.3,24.70%,59.40%,81.70%,6.1,14.6,20.1,2.8,3.0,2.8,2.7,2.1
"Congo, Dem. Rep.",COD,Africa,Sub-Saharan Africa,Low-income,81.4,0.6,2.0,3.2,28.70%,87.40%,95.50%,23.4,71.2,77.7,11.40%,72.20%,87.40%,9.3,58.8,71.1,40.30%,92.30%,97.50%,32.8,75.1,79.4,3.1,2.9,2.7,2.5,2.1
"Congo, Rep.",COG,Africa,Sub-Saharan Africa,Lower-middle,5.1,1.0,2.6,3.9,36.00%,77.90%,90.00%,1.8,4,4.6,18.90%,58.60%,75.50%,1.0,3.0,3.9,54.10%,89.80%,95.20%,2.8,4.6,4.9,3.1,3.7,3.6,3.7,3.4
Colombia,COL,Americas,Latin America and the Caribbean,Upper-middle,48.9,1.0,2.6,3.3,2.60%,15.30%,22.40%,1.3,7.5,11,1.30%,6.30%,9.70%,0.6,3.1,4.8,12.20%,48.20%,59.00%,6.0,23.6,28.8,3.1,3.2,3.4,3.1,2.9
Comoros,COM,Africa,Sub-Saharan Africa,Low-income,0.8,1.1,3.5,3.4,14.80%,60.90%,60.20%,0.1,0.5,0.5,6.00%,38.80%,37.50%,0.0,0.3,0.3,20.50%,70.90%,69.20%,0.2,0.6,0.6,4.3,4.4,4.5,4.5,4.5
Cape Verde,CPV,Africa,Sub-Saharan Africa,Lower-middle,0.5,0.6,2.5,3.4,0.20%,19.00%,32.40%,0.0,0.1,0.2,0.00%,5.70%,12.60%,0.0,0.0,0.1,0.80%,37.60%,53.10%,0.0,0.2,0.3,3,3.4,3.5,3.1,3.0
Costa Rica,CRI,Americas,Latin America and the Caribbean,Upper-middle,4.9,0.9,2.7,3.9,0.50%,4.90%,10.60%,0.0,0.2,0.5,0.30%,1.80%,3.70%,0.0,0.1,0.2,2.70%,25.60%,42.20%,0.1,1.3,2.1,3.1,4.0,4.3,4.0,4.1
Curacao,CUW,Americas,Latin America and the Caribbean,High-income,0.2,1.1,2.4,3.2,,,,,,,,,,,,,,,,,,,2.7,3.3,3.4,3.1,3.1
Cayman Islands,CYM,Americas,Latin America and the Caribbean,High-income,0.1,1.1,2.2,3.2,,,,,,,,,,,,,,,,,,,2.5,3.0,3.2,3.1,3.0
Cyprus,CYP,Asia,Western Asia,High-income,1.2,0.6,2.1,3.1,0.00%,0.10%,0.10%,0.0,0,0,0.00%,0.00%,0.10%,0.0,0.0,0,0.10%,2.20%,10.60%,0.0,0,0.1,2.5,3.0,3.2,2.9,2.8
Czech Republic,CZE,Europe,Eastern Europe,High-income,10.6,0.4,2.4,3.1,0.00%,0.10%,0.20%,0.0,0,0,0.00%,0.00%,0.10%,0.0,0.0,0,0.10%,6.10%,16.00%,0.0,0.6,1.7,2.8,3.1,3.2,3.0,3.1
Germany,DEU,Europe,Western Europe,High-income,82.7,0.3,2.3,2.8,0.00%,0.20%,0.20%,0.0,0.2,0.2,0.00%,0.20%,0.20%,0.0,0.2,0.2,0.00%,3.00%,5.00%,0.0,2.5,4.1,2.7,2.7,2.9,2.6,2.7
Djibouti,DJI,Africa,Sub-Saharan Africa,Lower-middle,0.9,0.6,2.5,3.5,3.30%,46.20%,66.70%,0.0,0.4,0.6,1.30%,22.10%,40.20%,0.0,0.2,0.4,8.30%,68.40%,84.90%,0.1,0.6,0.8,3.1,4.3,4.5,4.2,4.3
Dominica,DMA,Americas,Latin America and the Caribbean,Upper-middle,0.1,1.2,3.5,4.2,,,,,,,,,,,,,,,,,,,4.5,3.7,3.8,3.7,3.7
Denmark,DNK,Europe,Northern Europe,High-income,5.8,0.3,1.7,2.4,0.10%,0.10%,0.20%,0.0,0,0,0.00%,0.10%,0.10%,0.0,0.0,0,0.10%,0.40%,1.10%,0.0,0,0.1,2.1,2.5,2.6,2.5,2.6
Dominican Republic,DOM,Americas,Latin America and the Caribbean,Upper-middle,10.5,1.2,2.9,4.0,0.60%,7.90%,18.60%,0.1,0.8,2,0.30%,2.10%,5.80%,0.0,0.2,0.6,6.60%,43.60%,64.30%,0.7,4.6,6.8,3.6,4.1,4.4,3.9,3.8
Algeria,DZA,Africa,Northern Africa,Upper-middle,41.4,0.8,2.3,4.0,0.10%,3.00%,25.60%,0.0,1.2,10.6,0.10%,0.50%,4.50%,0.0,0.2,1.9,0.90%,46.80%,85.80%,0.4,19.4,35.5,3.2,4.2,4.2,3.7,3.8
Ecuador,ECU,Americas,Latin America and the Caribbean,Upper-middle,16.8,1.3,2.5,3.2,3.40%,10.90%,17.10%,0.6,1.8,2.9,1.40%,4.40%,7.20%,0.2,0.7,1.2,16.00%,41.20%,53.40%,2.7,6.9,9,3,3.2,3.4,2.9,2.8
"Egypt, Arab Rep.",EGY,Africa,Northern Africa,Lower-middle,96.4,1.0,2.3,4.1,0.70%,27.00%,75.20%,0.7,26,72.5,0.00%,4.70%,39.10%,0.0,4.5,37.7,5.40%,60.60%,90.70%,5.2,58.5,87.4,2.9,4.1,3.8,3.8,3.4
Spain,ESP,Europe,Southern Europe,High-income,46.6,0.4,1.8,2.7,0.50%,1.00%,1.50%,0.2,0.4,0.7,0.50%,0.60%,0.90%,0.2,0.3,0.4,1.00%,7.60%,16.90%,0.5,3.6,7.9,2,2.9,3.1,2.7,2.8
Estonia,EST,Europe,Northern Europe,High-income,1.3,0.4,2.6,3.3,0.10%,0.60%,0.80%,0.0,0,0,0.10%,0.40%,0.50%,0.0,0.0,0,0.50%,12.40%,22.80%,0.0,0.2,0.3,2.9,3.4,3.4,3.3,3.5
Ethiopia,ETH,Africa,Sub-Saharan Africa,Low-income,106.4,0.7,2.0,3.6,5.60%,53.00%,87.40%,6.0,56.4,93,0.70%,22.60%,65.20%,0.7,24.0,69.3,10.90%,71.50%,92.20%,11.6,76.1,98.1,2.4,3.3,3.0,3.0,2.7
Finland,FIN,Europe,Northern Europe,High-income,5.5,0.3,2.5,2.6,0.10%,0.10%,0.10%,0.0,0,0,0.10%,0.10%,0.10%,0.0,0.0,0,0.10%,1.20%,1.40%,0.0,0.1,0.1,2.7,2.9,2.9,2.9,3.0
Fiji,FJI,Oceania,Melanesia,Upper-middle,0.9,0.8,2.6,4.0,0.00%,7.50%,28.70%,0.0,0.1,0.3,0.00%,0.90%,6.90%,0.0,0.0,0.1,1.90%,54.70%,78.50%,0.0,0.5,0.7,3.1,3.8,3.8,3.5,3.3
France,FRA,Europe,Western Europe,High-income,66.9,0.3,1.9,3.0,0.00%,0.00%,0.00%,0.0,0,0,0.00%,0.00%,0.00%,0.0,0.0,0,0.00%,1.00%,5.60%,0.0,0.7,3.8,2.3,2.9,3.0,2.8,2.9
Gabon,GAB,Africa,Sub-Saharan Africa,Upper-middle,2.1,1.0,2.6,3.8,1.20%,15.20%,32.00%,0.0,0.3,0.7,0.30%,5.70%,12.80%,0.0,0.1,0.3,10.40%,56.40%,75.70%,0.2,1.2,1.6,3,3.4,3.4,3.5,3.4
United Kingdom,GBR,Europe,Northern Europe,High-income,66.1,0.3,1.5,1.9,0.10%,0.30%,0.40%,0.1,0.2,0.3,0.10%,0.30%,0.30%,0.0,0.2,0.2,0.30%,1.90%,3.00%,0.2,1.3,2,1.8,1.9,1.9,1.8,1.8
Ghana,GHA,Africa,Sub-Saharan Africa,Lower-middle,29.1,0.8,2.5,4.3,5.30%,34.30%,60.90%,1.5,10,17.7,2.10%,17.50%,37.40%,0.6,5.1,10.9,11.10%,54.00%,78.40%,3.2,15.7,22.8,3.4,3.8,3.9,3.7,3.2
Guinea,GIN,Africa,Sub-Saharan Africa,Low-income,12.1,0.9,2.2,4.1,8.90%,59.40%,90.30%,1.1,7.2,10.9,2.10%,28.20%,70.10%,0.3,3.4,8.5,17.60%,73.50%,94.90%,2.1,8.9,11.4,2.6,6.0,6.1,6.7,7.3
"Gambia, The",GMB,Africa,Sub-Saharan Africa,Low-income,2.2,1.0,2.5,3.8,3.90%,47.70%,73.10%,0.1,1.1,1.6,0.40%,17.80%,44.60%,0.0,0.4,1,8.40%,61.60%,83.50%,0.2,1.4,1.8,3.3,3.5,3.4,3.4,3.0
Guinea-Bissau,GNB,Africa,Sub-Saharan Africa,Low-income,1.8,0.9,1.9,3.8,45.30%,78.20%,92.60%,0.8,1.4,1.7,22.30%,58.80%,85.00%,0.4,1.1,1.6,58.20%,84.50%,94.80%,1.1,1.5,1.7,2.6,3.9,3.8,4.1,4.0
Equatorial Guinea,GNQ,Africa,Sub-Saharan Africa,Upper-middle,1.3,0.8,1.9,3.9,,,,,,,,,,,,,,,,,,,2.3,3.3,3.3,3.3,3.0
Greece,GRC,Europe,Southern Europe,High-income,10.8,0.7,2.6,3.1,0.50%,2.00%,2.90%,0.0,0.2,0.3,0.40%,1.10%,1.30%,0.0,0.1,0.1,2.50%,38.40%,50.00%,0.3,4.1,5.4,3,3.3,3.5,3.0,3.0
Grenada,GRD,Americas,Latin America and the Caribbean,Upper-middle,0.1,1.3,3.8,5.8,,,,,,,,,,,,,,,,,,,4.3,6.5,6.6,6.8,7.2
Guyana,GUY,Americas,Latin America and the Caribbean,Upper-middle,0.8,0.7,3.6,4.8,4.00%,25.40%,39.30%,0.0,0.2,0.3,3.10%,13.00%,18.90%,0.0,0.1,0.1,9.10%,67.60%,79.60%,0.1,0.5,0.6,4.1,5.0,5.1,5.0,5.1
"Hong Kong SAR, China",HKG,Asia,Eastern Asia,High-income,7.4,0.9,2.3,4.8,,,,,,,,,,,,,,,,,,,2.6,3.5,3.6,3.2,3.0
Honduras,HND,Americas,Latin America and the Caribbean,Lower-middle,9.4,1.1,3.5,3.6,12.80%,47.00%,48.90%,1.2,4.4,4.6,5.70%,29.20%,30.70%,0.5,2.8,2.9,21.80%,64.50%,66.10%,2.1,6.1,6.2,4.5,3.5,3.6,3.2,3.0
Croatia,HRV,Europe,Southern Europe,High-income,4.1,0.7,3.3,4.4,0.30%,2.50%,5.30%,0.0,0.1,0.2,0.30%,1.00%,1.90%,0.0,0.0,0.1,1.90%,51.40%,74.30%,0.1,2.1,3.1,3.7,4.4,4.5,4.2,4.3
Haiti,HTI,Americas,Latin America and the Caribbean,Low-income,11.0,1.1,2.9,4.7,14.40%,60.70%,82.20%,1.6,6.7,9,4.60%,35.20%,61.30%,0.5,3.9,6.7,22.80%,72.10%,89.10%,2.5,7.9,9.8,3.7,4.7,5.3,3.8,3.5
Hungary,HUN,Europe,Eastern Europe,High-income,9.8,0.5,2.3,3.7,0.30%,1.30%,3.00%,0.0,0.1,0.3,0.20%,0.70%,1.30%,0.0,0.1,0.1,0.90%,25.50%,58.50%,0.1,2.5,5.7,2.7,3.5,3.7,3.3,3.3
Indonesia,IDN,Asia,South-eastern Asia,Lower-middle,264.6,1.0,2.7,5.1,1.10%,35.60%,71.30%,2.8,94.2,188.7,0.00%,12.20%,46.20%,0.1,32.4,122.3,8.80%,58.70%,87.20%,23.2,155.3,230.7,3.1,4.3,4.4,4.5,4.4
India,IND,Asia,Southern Asia,Lower-middle,1338.7,0.8,2.1,3.2,0.70%,42.70%,71.50%,8.8,571.1,956.9,0.10%,11.60%,39.10%,0.8,154.8,523.6,6.70%,70.40%,87.90%,89.3,942.8,"1,176.40",2.6,3.0,3.0,2.7,2.6
Ireland,IRL,Europe,Northern Europe,High-income,4.8,0.6,2.1,2.5,0.20%,0.30%,0.30%,0.0,0,0,0.20%,0.20%,0.20%,0.0,0.0,0,0.30%,1.00%,2.20%,0.0,0,0.1,2.5,2.6,2.7,2.6,2.6
"Iran, Islamic Rep.",IRN,Asia,Southern Asia,Upper-middle,80.7,0.9,2.0,3.5,0.00%,2.20%,10.50%,0.0,1.8,8.5,0.00%,0.30%,2.80%,0.0,0.3,2.3,2.10%,19.80%,47.70%,1.7,16,38.5,2.4,3.9,4.2,3.4,3.4
Iraq,IRQ,Asia,Western Asia,Upper-middle,37.6,1.2,2.5,3.9,0.70%,18.20%,50.80%,0.3,6.9,19.1,0.00%,3.30%,17.60%,0.0,1.2,6.6,21.30%,76.30%,93.40%,8.0,28.7,35.1,3,3.7,3.6,3.3,3.1
Iceland,ISL,Europe,Northern Europe,High-income,0.3,0.4,2.5,2.4,0.00%,0.00%,0.00%,0.0,0,0,0.00%,0.00%,0.00%,0.0,0.0,0,0.00%,0.70%,0.60%,0.0,0,0,2.8,2.6,2.8,2.3,2.3
Israel,ISR,Asia,Western Asia,High-income,8.7,0.5,1.9,2.7,0.00%,0.50%,1.00%,0.0,0,0.1,0.00%,0.20%,0.20%,0.0,0.0,0,0.70%,14.50%,23.70%,0.1,1.3,2.1,2.3,2.4,2.4,2.1,2.0
Italy,ITA,Europe,Southern Europe,High-income,60.5,0.3,2.3,3.1,1.00%,1.90%,2.50%,0.6,1.1,1.5,0.90%,1.40%,1.60%,0.6,0.9,1,1.40%,9.80%,17.70%,0.9,5.9,10.7,2.7,2.9,3.1,2.8,2.8
Jamaica,JAM,Americas,Latin America and the Caribbean,Upper-middle,2.9,1.0,4.1,5.5,0.90%,34.50%,52.40%,0.0,1,1.5,0.10%,14.50%,26.30%,0.0,0.4,0.8,10.90%,74.20%,84.20%,0.3,2.2,2.5,5.2,4.6,4.8,4.7,4.5
Jordan,JOR,Asia,Western Asia,Upper-middle,9.8,0.6,1.6,4.1,0.00%,0.40%,19.90%,0.0,0,1.9,0.00%,0.00%,3.10%,0.0,0.0,0.3,0.20%,13.30%,75.30%,0.0,1.3,7.4,2,3.7,3.7,3.3,3.0
Japan,JPN,Asia,Eastern Asia,High-income,126.8,3.0,3.6,5.2,0.90%,1.20%,1.60%,1.2,1.5,2,0.90%,0.90%,0.90%,1.2,1.2,1.2,8.20%,14.70%,33.70%,10.4,18.6,42.8,4.1,5.7,6.0,5.4,5.6
Kazakhstan,KAZ,Asia,Central Asia,Upper-middle,18.0,0.7,1.8,2.8,0.00%,0.10%,1.20%,0.0,0,0.2,0.00%,0.00%,0.10%,0.0,0.0,0,0.00%,8.30%,42.00%,0.0,1.5,7.6,2.1,2.6,2.6,2.5,2.4
Kenya,KEN,Africa,Sub-Saharan Africa,Lower-middle,50.2,0.8,1.9,3.1,10.70%,55.20%,79.00%,5.4,27.7,39.7,2.70%,28.90%,57.80%,1.3,14.5,29,27.60%,74.60%,90.80%,13.8,37.5,45.6,2.4,2.8,2.6,2.5,2.2
Kyrgyz Republic,KGZ,Asia,Central Asia,Lower-middle,6.2,1.0,2.5,3.6,0.30%,22.40%,57.60%,0.0,1.4,3.6,0.00%,2.50%,17.50%,0.0,0.2,1.1,1.70%,58.00%,84.20%,0.1,3.6,5.2,2.8,3.3,3.2,3.2,3.1
Cambodia,KHM,Asia,South-eastern Asia,Lower-middle,16.0,1.0,2.8,4.5,,,,,,,,,,,,,,,,,,,3.2,3.7,3.7,3.5,3.2
St. Kitts and Nevis,KNA,Americas,Latin America and the Caribbean,High-income,0.1,0.5,3.0,3.3,,,,,,,,,,,,,,,,,,,3.5,3.2,3.4,3.1,3.0
"Korea, Rep.",KOR,Asia,Eastern Asia,High-income,51.4,0.7,4.3,4.9,0.00%,1.00%,1.20%,0.0,0.5,0.6,0.00%,0.50%,0.50%,0.0,0.3,0.3,0.50%,26.00%,33.00%,0.3,13.4,16.9,4.9,5.0,4.9,4.8,4.9
Kuwait,KWT,Asia,Western Asia,High-income,4.1,0.3,1.8,3.9,,,,,,,,,,,,,,,,,,,2.3,3.7,3.7,3.4,3.4
Lao PDR,LAO,Asia,South-eastern Asia,Lower-middle,7.0,0.7,2.9,5.0,0.60%,57.40%,83.70%,0.0,4,5.8,0.00%,27.60%,62.60%,0.0,1.9,4.3,5.20%,78.20%,93.30%,0.4,5.4,6.5,3.5,4.0,4.2,3.8,3.4
Liberia,LBR,Africa,Sub-Saharan Africa,Low-income,4.7,1.0,3.0,5.1,27.00%,87.50%,97.60%,1.3,4.1,4.6,7.60%,67.70%,89.30%,0.4,3.2,4.2,39.90%,92.90%,98.80%,1.9,4.4,4.6,3.6,3.8,3.7,3.7,3.1
St. Lucia,LCA,Americas,Latin America and the Caribbean,Upper-middle,0.2,1.1,2.7,3.5,3.70%,13.00%,17.70%,0.0,0,0,2.80%,6.90%,9.70%,0.0,0.0,0,11.50%,34.00%,44.60%,0.0,0.1,0.1,3.5,3.7,3.9,3.6,3.6
Sri Lanka,LKA,Asia,Southern Asia,Lower-middle,21.4,1.0,2.2,4.1,0.10%,10.70%,45.40%,0.0,2.3,9.7,0.00%,1.30%,16.40%,0.0,0.3,3.5,1.40%,31.80%,70.40%,0.3,6.8,15.1,2.5,4.2,4.1,3.9,3.9
Lesotho,LSO,Africa,Sub-Saharan Africa,Lower-middle,2.1,0.6,2.3,4.2,6.40%,51.50%,76.90%,0.1,1.1,1.6,1.60%,32.00%,57.80%,0.0,0.7,1.2,14.70%,69.20%,89.50%,0.3,1.4,1.9,2.7,3.9,4.1,3.6,3.5
Lithuania,LTU,Europe,Northern Europe,High-income,2.8,0.5,2.0,3.2,0.80%,1.30%,2.90%,0.0,0,0.1,0.80%,1.00%,1.30%,0.0,0.0,0,1.50%,15.50%,41.40%,0.0,0.4,1.2,2.4,3.1,3.3,3.1,3.1
Luxembourg,LUX,Europe,Western Europe,High-income,0.6,0.3,2.0,2.5,0.10%,0.30%,0.40%,0.0,0,0,0.10%,0.30%,0.30%,0.0,0.0,0,0.30%,2.20%,2.90%,0.0,0,0,2.5,2.4,2.4,2.3,2.4
Latvia,LVA,Europe,Northern Europe,High-income,1.9,0.4,2.1,3.3,0.10%,1.40%,2.60%,0.0,0,0.1,0.10%,0.70%,1.40%,0.0,0.0,0,1.10%,17.50%,46.20%,0.0,0.3,0.9,2.4,3.4,3.6,3.3,3.3
